point_id,local_x,local_y,local_z,global_x,global_y,global_z
0,14.1025228500366,-0.00005531311035,-1.75019299983978,14.1025228500366,0.09994468837976,-1.75019299983978
1,14.0253248214722,-0.00005408423021,-1.75018072128296,14.0253248214722,0.09994591772556,-1.75018072128296
2,13.931489944458,-0.00005262409104,-1.75015139579773,13.931489944458,0.09994737803936,-1.75015139579773
3,13.8031969070435,-0.00005066767335,-1.75009441375732,13.8031969070435,0.09994933009148,-1.75009441375732
4,13.6422204971313,-0.00004826561781,-1.75000035762787,13.6422204971313,0.09995173662901,-1.75000035762787
5,13.4503345489502,-0.00004546856508,-1.74986016750336,13.4503345489502,0.09995453059673,-1.74986016750336
6,13.343355178833,-0.00004393773997,-1.74976992607117,13.343355178833,0.09995606541634,-1.74976992607117
7,13.2293148040771,-0.00004232715582,-1.74966442584991,13.2293148040771,0.09995767474174,-1.74966442584991
8,13.1084337234497,-0.00004064314271,-1.74954295158386,13.1084337234497,0.09995935857296,-1.74954295158386
9,12.980936050415,-0.00003889203072,-1.74940407276154,12.980936050415,0.0999611094594,-1.74940407276154
10,12.8470411300659,-0.00003708014992,-1.74924671649933,12.8470411300659,0.09996291995049,-1.74924671649933
11,12.7069711685181,-0.00003521383042,-1.74906980991364,12.7069711685181,0.09996479004622,-1.74906980991364
12,12.5609502792358,-0.00003329940228,-1.74887216091156,12.5609502792358,0.09996670484543,-1.74887216091156
13,12.409197807312,-0.00003134319559,-1.74865233898163,12.409197807312,0.09996865689754,-1.74865233898163
14,12.2519378662109,-0.00002935154043,-1.74840939044952,12.2519378662109,0.09997065365314,-1.74840939044952
15,12.0893878936768,-0.0000273307669,-1.74814212322235,12.0893878936768,0.09997267276049,-1.74814212322235
16,11.9217758178711,-0.00002528720506,-1.74784982204437,11.9217758178711,0.09997471421957,-1.74784982204437
17,11.7493181228638,-0.00002322718501,-1.74753081798553,11.7493181228638,0.0999767780304,-1.74753081798553
18,11.5722398757935,-0.00002115703683,-1.74718391895294,11.5722398757935,0.09997884184122,-1.74718391895294
19,11.3907632827759,-0.00001908309059,-1.74680829048157,11.3907632827759,0.09998092055321,-1.74680829048157
20,11.2051067352295,-0.00001701167639,-1.74640250205994,11.2051067352295,0.09998299181461,-1.74640250205994
21,11.015495300293,-0.00001494912431,-1.74596548080444,11.015495300293,0.09998505562544,-1.74596548080444
22,10.8221492767334,-0.00001290176442,-1.74549627304077,10.8221492767334,0.09998709708452,-1.74549627304077
23,10.6252918243408,-0.00001087592682,-1.74499344825745,10.6252918243408,0.09998912364244,-1.74499344825745
24,10.52561378479,-0.00000987305975,-1.74472904205322,10.52561378479,0.09999012947083,-1.74472904205322
25,10.425142288208,-0.00000887794158,-1.74445593357086,10.425142288208,0.09999112039804,-1.74445593357086
26,10.3239030838013,-0.00000789136902,-1.74417388439178,10.3239030838013,0.09999211132526,-1.74417388439178
27,10.2219257354736,-0.00000691413879,-1.74388265609741,10.2219257354736,0.09999308735132,-1.74388265609741
28,10.1192350387573,-0.0000059470367,-1.74358236789703,10.1192350387573,0.0999940559268,-1.74358236789703
29,10.0158615112305,-0.00000499084854,-1.7432724237442,10.0158615112305,0.09999500960112,-1.7432724237442
30,9.91182994842529,-0.00000404637103,-1.7429530620575,9.91182994842529,0.09999595582485,-1.7429530620575
31,9.80717086791992,-0.0000031144009,-1.74262416362762,9.80717086791992,0.09999688714743,-1.74262416362762
32,9.70191192626953,-0.00000219572394,-1.74228513240814,9.70191192626953,0.09999780356884,-1.74228513240814
33,9.59607887268066,-0.00000129112595,-1.74193644523621,9.59607887268066,0.09999871253967,-1.74193644523621
34,9.48970031738281,-0.00000040140367,-1.74157738685608,9.48970031738281,0.09999959915876,-1.74157738685608
35,9.38280487060547,0.00000047264621,-1.74120831489563,9.38280487060547,0.10000047087669,-1.74120831489563
36,9.27542018890381,0.00000133023786,-1.74082863330841,9.27542018890381,0.10000133514404,-1.74082863330841
37,9.16757106781006,0.0000021705855,-1.740438580513,9.16757106781006,0.10000216960907,-1.740438580513
38,9.05928897857666,0.00000299289241,-1.74003779888153,9.05928897857666,0.10000299662352,-1.74003779888153
39,8.95060062408447,0.00000379636185,-1.73962604999542,8.95060062408447,0.10000380128622,-1.73962604999542
