ray_id,ray_name,voxel_id,voxel_center_global_x,voxel_center_global_y,voxel_center_global_z,voxel_center_local_x,voxel_center_local_y,voxel_center_local_z,ray_origin_point,ray_origin_point,ray_origin_point,ray_target_position,ray_target_position,ray_target_position,x_collision_point,y_collision_point,z_collision_point,collision_point_global,collider_name,ray_length,voxwl_size,eye_global_position_x,eye_global_position_y,eye_global_position_z,eye_global_rotation_deg_x,eye_global_rotation_deg_y,eye_global_rotation_deg_z
0,left road,0,-3.50500011444092,0.0,5.5,-3.45000004768372,0.0,-1.45000004768372,-3.50500011444092,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.63664722442627,0.48887139558792,4.86665058135986,"(-2.636647, 0.488871, 4.866651)",truck body CS,2.90982007980347,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
1,left road,1,-3.40499997138977,0.0,5.5,-3.34999990463257,0.0,-1.45000004768372,-3.40499997138977,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.59344482421875,0.47929230332375,4.87906074523926,"(-2.593445, 0.479292, 4.879061)",truck body CS,2.83708691596985,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
2,left road,2,-3.3050000667572,0.0,5.5,-3.25,0.0,-1.45000004768372,-3.3050000667572,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.5302472114563,0.48114338517189,4.87666273117065,"(-2.530247, 0.481143, 4.876663)",truck body CS,2.76605677604675,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
3,left road,3,-3.20500016212463,0.0,5.5,-3.15000009536743,0.0,-1.45000004768372,-3.20500016212463,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.47009181976318,0.4812037050724,4.87658452987671,"(-2.470092, 0.481204, 4.876585)",truck body CS,2.69686460494995,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
4,left road,4,-3.10500001907349,0.0,5.5,-3.04999995231628,0.0,-1.45000004768372,-3.10500001907349,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.41109871864319,0.4804659485817,4.87754011154175,"(-2.411099, 0.480466, 4.87754)",truck body CS,2.62965512275696,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
5,left road,5,-3.00500011444092,0.0,5.5,-2.95000004768372,0.0,-1.45000004768372,-3.00500011444092,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.38659858703613,0.45429867506027,4.91144037246704,"(-2.386599, 0.454299, 4.91144)",truck body CS,2.56458449363709,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
6,left road,6,-2.90499997138977,0.0,5.5,-2.84999990463257,0.0,-1.45000004768372,-2.90499997138977,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.48306059837341,0.33009946346283,5.07234477996826,"(-2.483061, 0.330099, 5.072345)",truck body CS,2.5018196105957,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
7,left road,7,-2.8050000667572,0.0,5.5,-2.75,0.0,-1.45000004768372,-2.8050000667572,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.4458703994751,0.30047261714935,5.11072731018066,"(-2.44587, 0.300473, 5.110727)",truck body CS,2.4415385723114,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
8,left road,8,-2.70500016212463,0.0,5.5,-2.65000009536743,0.0,-1.45000004768372,-2.70500016212463,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.39544606208801,0.27832275629044,5.13942337036133,"(-2.395446, 0.278323, 5.139423)",truck body CS,2.38392925262451,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
9,left road,9,-2.60500001907349,0.0,5.5,-2.54999995231628,0.0,-1.45000004768372,-2.60500001907349,0.0,5.5,-1.36504065990448,1.20476973056793,3.93918061256409,-2.3184232711792,0.27844375371933,5.13926696777344,"(-2.318423, 0.278444, 5.139267)",truck body CS,2.32919001579285,0.1,-1.36504065990448,1.20476973056793,3.93918061256409,0.00069464902953,179.683029589954,-0.00000801939704
