ray_id,ray_name,voxel_id,voxel_center_global_x,voxel_center_global_y,voxel_center_global_z,voxel_center_local_x,voxel_center_local_y,voxel_center_local_z,ray_origin_point,ray_origin_point,ray_origin_point,ray_target_position,ray_target_position,ray_target_position,x_collision_point,y_collision_point,z_collision_point,collision_point_global,collider_name,ray_length,voxwl_size,eye_global_position_x,eye_global_position_y,eye_global_position_z,eye_global_rotation_deg_x,eye_global_rotation_deg_y,eye_global_rotation_deg_z
0,left road,0,-3.50500011444092,0.0,5.5,-3.45000004768372,0.0,-1.45000004768372,-3.50500011444092,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.71171092987061,1.142333984375,-0.99618268013,"(7.711711, 1.142334, -0.996183)",truck body CS,13.723521232605,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
1,left road,1,-3.40499997138977,0.0,5.5,-3.34999990463257,0.0,-1.45000004768372,-3.40499997138977,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.71650075912476,1.14229357242584,-0.99595302343369,"(7.716501, 1.142294, -0.995953)",truck body CS,13.6374139785767,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
2,left road,2,-3.3050000667572,0.0,5.5,-3.25,0.0,-1.45000004768372,-3.3050000667572,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.72129154205322,1.14225268363953,-0.99572098255157,"(7.721292, 1.142253, -0.995721)",truck body CS,13.5514993667603,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
3,left road,3,-3.20500016212463,0.0,5.5,-3.15000009536743,0.0,-1.45000004768372,-3.20500016212463,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.72620296478271,1.14222359657288,-0.99555534124374,"(7.726203, 1.142224, -0.995555)",truck body CS,13.4657773971558,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
4,left road,4,-3.10500001907349,0.0,5.5,-3.04999995231628,0.0,-1.45000004768372,-3.10500001907349,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.730393409729,1.14211821556091,-0.99495506286621,"(7.730393, 1.142118, -0.994955)",truck body CS,13.3802537918091,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
5,left road,5,-3.00500011444092,0.0,5.5,-2.95000004768372,0.0,-1.45000004768372,-3.00500011444092,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.73177051544189,1.14171171188354,-0.99264359474182,"(7.731771, 1.141712, -0.992644)",truck body CS,13.2949333190918,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
6,left road,6,-2.90499997138977,0.0,5.5,-2.84999990463257,0.0,-1.45000004768372,-2.90499997138977,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.73540830612183,1.14154028892517,-0.99166929721832,"(7.735408, 1.14154, -0.991669)",truck body CS,13.2098169326782,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
7,left road,7,-2.8050000667572,0.0,5.5,-2.75,0.0,-1.45000004768372,-2.8050000667572,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.74117946624756,1.14159679412842,-0.99199134111404,"(7.741179, 1.141597, -0.991991)",truck body CS,13.1249132156372,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
8,left road,8,-2.70500016212463,0.0,5.5,-2.65000009536743,0.0,-1.45000004768372,-2.70500016212463,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.74687385559082,1.14164614677429,-0.99227094650269,"(7.746874, 1.141646, -0.992271)",truck body CS,13.0402212142944,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
9,left road,9,-2.60500001907349,0.0,5.5,-2.54999995231628,0.0,-1.45000004768372,-2.60500001907349,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.75256443023682,1.14169573783875,-0.99255353212357,"(7.752564, 1.141696, -0.992554)",truck body CS,12.9557485580444,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
10,left road,10,-2.50500011444092,0.0,5.5,-2.45000004768372,0.0,-1.45000004768372,-2.50500011444092,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.77939128875732,1.14409792423248,-1.00621354579926,"(7.779391, 1.144098, -1.006214)",truck body CS,12.8714971542358,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
11,left road,11,-2.40499997138977,0.0,5.5,-2.34999990463257,0.0,-1.45000004768372,-2.40499997138977,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.78406572341919,1.14405703544617,-1.00598216056824,"(7.784066, 1.144057, -1.005982)",truck body CS,12.7874736785889,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
12,left road,12,-2.3050000667572,0.0,5.5,-2.25,0.0,-1.45000004768372,-2.3050000667572,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.78874778747559,1.1440167427063,-1.0057520866394,"(7.788748, 1.144017, -1.005752)",truck body CS,12.7036819458008,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
13,left road,13,-2.20500016212463,0.0,5.5,-2.15000009536743,0.0,-1.45000004768372,-2.20500016212463,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,7.79416847229004,1.14405989646912,-1.00599813461304,"(7.794168, 1.14406, -1.005998)",truck body CS,12.6201257705688,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
14,left road,14,-2.10500001907349,0.0,5.5,-2.04999995231628,0.0,-1.45000004768372,-2.10500001907349,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,8.27493095397949,1.19901204109192,-1.31849646568298,"(8.274931, 1.199012, -1.318496)",EyeArea,12.536810874939,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
15,left road,15,-2.00500011444092,0.0,5.5,-1.95000004768372,0.0,-1.45000004768372,-2.00500011444092,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,8.27493190765381,1.19895660877228,-1.31818175315857,"(8.274932, 1.198957, -1.318182)",EyeArea,12.4537410736084,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
16,left road,16,-1.90499997138977,0.0,5.5,-1.85000002384186,0.0,-1.45000004768372,-1.90499997138977,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,8.27493381500244,1.19889986515045,-1.31785845756531,"(8.274934, 1.1989, -1.317858)",EyeArea,12.370922088623,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
17,left road,17,-1.80499994754791,0.0,5.5,-1.75,0.0,-1.45000004768372,-1.80499994754791,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,8.27493476867676,1.19884204864502,-1.31753039360046,"(8.274935, 1.198842, -1.31753)",EyeArea,12.2883586883545,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
18,left road,18,-1.70499992370605,0.0,5.5,-1.64999997615814,0.0,-1.45000004768372,-1.70499992370605,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,8.27493667602539,1.19878315925598,-1.31719517707825,"(8.274937, 1.198783, -1.317195)",EyeArea,12.2060556411743,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
19,left road,19,-1.6049998998642,0.0,5.5,-1.54999995231628,0.0,-1.45000004768372,-1.6049998998642,0.0,5.5,8.32479000091553,1.20477151870728,-1.35124945640564,8.27493762969971,1.19872295856476,-1.31685328483582,"(8.274938, 1.198723, -1.316853)",EyeArea,12.1240186691284,0.1,8.32479000091553,1.20477151870728,-1.35124945640564,0.00035496392335,90.2461830127329,0.00000277582447
