ray_id,ray_name,voxel_id,voxel_center_global_x,voxel_center_global_y,voxel_center_global_z,voxel_center_local_x,voxel_center_local_y,voxel_center_local_z,ray_origin_point,ray_origin_point,ray_origin_point,ray_target_position,ray_target_position,ray_target_position,x_collision_point,y_collision_point,z_collision_point,collision_point_global,collider_name,ray_length,voxwl_size,eye_global_position_x,eye_global_position_y,eye_global_position_z,eye_global_rotation_deg_x,eye_global_rotation_deg_y,eye_global_rotation_deg_z
0,left road,0,-3.50500011444092,0.0,5.5,-3.45000004768372,0.0,-1.45000004768372,-3.50500011444092,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.30218601226807,1.14632296562195,-1.02466285228729,"(9.302186, 1.146323, -1.024663)",truck body CS,15.1541013717651,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
1,left road,1,-3.40499997138977,0.0,5.5,-3.34999990463257,0.0,-1.45000004768372,-3.40499997138977,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.30314636230469,1.14597225189209,-1.02266705036163,"(9.303146, 1.145972, -1.022667)",truck body CS,15.0653495788574,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
2,left road,2,-3.3050000667572,0.0,5.5,-3.25,0.0,-1.45000004768372,-3.3050000667572,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.30410003662109,1.14561557769775,-1.02063632011414,"(9.3041, 1.145616, -1.020636)",truck body CS,14.9767408370972,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
3,left road,3,-3.20500016212463,0.0,5.5,-3.15000009536743,0.0,-1.45000004768372,-3.20500016212463,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.30503940582275,1.14525210857391,-1.01856780052185,"(9.305039, 1.145252, -1.018568)",truck body CS,14.8882761001587,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
4,left road,4,-3.10500001907349,0.0,5.5,-3.04999995231628,0.0,-1.45000004768372,-3.10500001907349,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.30587863922119,1.14487385749817,-1.01641535758972,"(9.305879, 1.144874, -1.016415)",truck body CS,14.7999572753906,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
5,left road,5,-3.00500011444092,0.0,5.5,-2.95000004768372,0.0,-1.45000004768372,-3.00500011444092,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.30673027038574,1.14449095726013,-1.01423537731171,"(9.30673, 1.144491, -1.014235)",truck body CS,14.7117881774902,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
6,left road,6,-2.90499997138977,0.0,5.5,-2.84999990463257,0.0,-1.45000004768372,-2.90499997138977,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.30759143829346,1.14410281181335,-1.0120267868042,"(9.307591, 1.144103, -1.012027)",truck body CS,14.6237716674805,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
7,left road,7,-2.8050000667572,0.0,5.5,-2.75,0.0,-1.45000004768372,-2.8050000667572,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.30964088439941,1.14382112026215,-1.01042294502258,"(9.309641, 1.143821, -1.010423)",truck body CS,14.5359106063843,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
8,left road,8,-2.70500016212463,0.0,5.5,-2.65000009536743,0.0,-1.45000004768372,-2.70500016212463,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.31220054626465,1.14358329772949,-1.00906980037689,"(9.312201, 1.143583, -1.00907)",truck body CS,14.4482069015503,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
9,left road,9,-2.60500001907349,0.0,5.5,-2.54999995231628,0.0,-1.45000004768372,-2.60500001907349,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.31480598449707,1.14334619045258,-1.00771903991699,"(9.314806, 1.143346, -1.007719)",truck body CS,14.3606643676758,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
10,left road,10,-2.50500011444092,0.0,5.5,-2.45000004768372,0.0,-1.45000004768372,-2.50500011444092,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.31748676300049,1.14311265945435,-1.00639009475708,"(9.317487, 1.143113, -1.00639)",truck body CS,14.2732849121094,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
11,left road,11,-2.40499997138977,0.0,5.5,-2.34999990463257,0.0,-1.45000004768372,-2.40499997138977,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.32046127319336,1.14290380477905,-1.00520157814026,"(9.320461, 1.142904, -1.005202)",truck body CS,14.1860723495483,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
12,left road,12,-2.3050000667572,0.0,5.5,-2.25,0.0,-1.45000004768372,-2.3050000667572,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.3246374130249,1.14280962944031,-1.00466549396515,"(9.324637, 1.14281, -1.004665)",truck body CS,14.0990304946899,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
13,left road,13,-2.20500016212463,0.0,5.5,-2.15000009536743,0.0,-1.45000004768372,-2.20500016212463,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.32882690429688,1.14271533489227,-1.00412893295288,"(9.328827, 1.142715, -1.004129)",truck body CS,14.0121593475342,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
14,left road,14,-2.10500001907349,0.0,5.5,-2.04999995231628,0.0,-1.45000004768372,-2.10500001907349,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.33303260803223,1.14262104034424,-1.00359177589417,"(9.333033, 1.142621, -1.003592)",truck body CS,13.9254665374756,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
15,left road,15,-2.00500011444092,0.0,5.5,-1.95000004768372,0.0,-1.45000004768372,-2.00500011444092,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.33763313293457,1.14256477355957,-1.00327181816101,"(9.337633, 1.142565, -1.003272)",truck body CS,13.8389530181885,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
16,left road,16,-1.90499997138977,0.0,5.5,-1.85000002384186,0.0,-1.45000004768372,-1.90499997138977,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.34238624572754,1.14252328872681,-1.00303530693054,"(9.342386, 1.142523, -1.003035)",truck body CS,13.7526206970215,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
17,left road,17,-1.80499994754791,0.0,5.5,-1.75,0.0,-1.45000004768372,-1.80499994754791,0.0,5.5,9.95505809783936,1.20475912094116,-1.35727107524872,9.34714889526367,1.14248192310333,-1.00280022621155,"(9.347149, 1.142482, -1.0028)",truck body CS,13.6664772033691,0.1,9.95505809783936,1.20475912094116,-1.35727107524872,0.00052602743164,90.1734005169373,0.00000220906326
