ray_id,ray_name,voxel_id,voxel_center_global_x,voxel_center_global_y,voxel_center_global_z,voxel_center_local_x,voxel_center_local_y,voxel_center_local_z,ray_origin_point,ray_origin_point,ray_origin_point,ray_target_position,ray_target_position,ray_target_position,x_collision_point,y_collision_point,z_collision_point,collision_point_global,collider_name,ray_length,voxwl_size,eye_global_position_x,eye_global_position_y,eye_global_position_z,eye_global_rotation_deg_x,eye_global_rotation_deg_y,eye_global_rotation_deg_z
0,left road,0,-3.50500011444092,0.0,5.5,-3.45000004768372,0.0,-1.45000004768372,-3.50500011444092,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.36331653594971,0.64222538471222,6.83932018280029,"(-2.363317, 0.642225, 6.83932)",truck body CS,3.51437854766846,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
1,left road,1,-3.40499997138977,0.0,5.5,-3.34999990463257,0.0,-1.45000004768372,-3.40499997138977,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.36358451843262,0.61451476812363,6.7815318107605,"(-2.363585, 0.614515, 6.781532)",truck body CS,3.45434713363647,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
2,left road,2,-3.3050000667572,0.0,5.5,-3.25,0.0,-1.45000004768372,-3.3050000667572,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.36388063430786,0.58393257856369,6.71775484085083,"(-2.363881, 0.583933, 6.717755)",truck body CS,3.39619970321655,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
3,left road,3,-3.20500016212463,0.0,5.5,-3.15000009536743,0.0,-1.45000004768372,-3.20500016212463,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.36420893669128,0.55000817775726,6.64700746536255,"(-2.364209, 0.550008, 6.647007)",truck body CS,3.34003448486328,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
4,left road,4,-3.10500001907349,0.0,5.5,-3.04999995231628,0.0,-1.45000004768372,-3.10500001907349,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.60290670394897,0.34730491042137,6.22428321838379,"(-2.602907, 0.347305, 6.224283)",truck body CS,3.28595304489136,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
5,left road,5,-3.00500011444092,0.0,5.5,-2.95000004768372,0.0,-1.45000004768372,-3.00500011444092,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.56000351905823,0.32655954360962,6.18101978302002,"(-2.560004, 0.32656, 6.18102)",truck body CS,3.23406028747559,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
6,left road,6,-2.90499997138977,0.0,5.5,-2.84999990463257,0.0,-1.45000004768372,-2.90499997138977,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.48753261566162,0.32622835040092,6.18032884597778,"(-2.487533, 0.326228, 6.180329)",truck body CS,3.18446254730225,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
7,left road,7,-2.8050000667572,0.0,5.5,-2.75,0.0,-1.45000004768372,-2.8050000667572,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.41500806808472,0.32589685916901,6.17963743209839,"(-2.415008, 0.325897, 6.179637)",truck body CS,3.13726949691772,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
8,left road,8,-2.70500016212463,0.0,5.5,-2.65000009536743,0.0,-1.45000004768372,-2.70500016212463,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.3443295955658,0.3238577246666,6.17538499832153,"(-2.34433, 0.323858, 6.175385)",truck body CS,3.09259104728699,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
9,left road,9,-2.60500001907349,0.0,5.5,-2.54999995231628,0.0,-1.45000004768372,-2.60500001907349,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.27111864089966,0.32394701242447,6.17557144165039,"(-2.271119, 0.323947, 6.175571)",truck body CS,3.050537109375,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
10,left road,10,-2.50500011444092,0.0,5.5,-2.45000004768372,0.0,-1.45000004768372,-2.50500011444092,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.19792294502258,0.3240362405777,6.17575740814209,"(-2.197923, 0.324036, 6.175757)",truck body CS,3.01121807098389,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
11,left road,11,-2.40499997138977,0.0,5.5,-2.34999990463257,0.0,-1.45000004768372,-2.40499997138977,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.12474203109741,0.32412549853325,6.17594385147095,"(-2.124742, 0.324125, 6.175944)",truck body CS,2.97474217414856,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
12,left road,12,-2.3050000667572,0.0,5.5,-2.25,0.0,-1.45000004768372,-2.3050000667572,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-2.05157589912415,0.3242147564888,6.17612934112549,"(-2.051576, 0.324215, 6.176129)",truck body CS,2.94121551513672,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
13,left road,13,-2.20500016212463,0.0,5.5,-2.15000009536743,0.0,-1.45000004768372,-2.20500016212463,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.97842454910278,0.32430398464203,6.17631578445435,"(-1.978425, 0.324304, 6.176316)",truck body CS,2.91073989868164,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
14,left road,14,-2.10500001907349,0.0,5.5,-2.04999995231628,0.0,-1.45000004768372,-2.10500001907349,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.90528798103333,0.32439318299294,6.17650175094604,"(-1.905288, 0.324393, 6.176502)",truck body CS,2.88341212272644,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
15,left road,15,-2.00500011444092,0.0,5.5,-1.95000004768372,0.0,-1.45000004768372,-2.00500011444092,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.83218538761139,0.3244469165802,6.17661380767822,"(-1.832185, 0.324447, 6.176614)",truck body CS,2.85932207107544,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
16,left road,16,-1.90499997138977,0.0,5.5,-1.85000002384186,0.0,-1.45000004768372,-1.90499997138977,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.75916254520416,0.32434213161469,6.17639541625977,"(-1.759163, 0.324342, 6.176395)",truck body CS,2.83855247497559,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
17,left road,17,-1.80499994754791,0.0,5.5,-1.75,0.0,-1.45000004768372,-1.80499994754791,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.6857453584671,0.32526612281799,6.17832231521606,"(-1.685745, 0.325266, 6.178322)",truck body CS,2.82117676734924,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
18,left road,18,-1.70499992370605,0.0,5.5,-1.64999997615814,0.0,-1.45000004768372,-1.70499992370605,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.61302328109741,0.32428032159805,6.17626667022705,"(-1.613023, 0.32428, 6.176267)",truck body CS,2.80725789070129,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
19,left road,19,-1.6049998998642,0.0,5.5,-1.54999995231628,0.0,-1.45000004768372,-1.6049998998642,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.5399694442749,0.32413241267204,6.17595767974854,"(-1.539969, 0.324132, 6.175958)",truck body CS,2.79684710502625,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
20,left road,20,-1.50499999523163,0.0,5.5,-1.45000004768372,0.0,-1.45000004768372,-1.50499999523163,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.46689105033875,0.32398438453674,6.17564916610718,"(-1.466891, 0.323984, 6.175649)",truck body CS,2.78998422622681,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
21,left road,21,-1.40499997138977,0.0,5.5,-1.35000002384186,0.0,-1.45000004768372,-1.40499997138977,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.39378809928894,0.32383644580841,6.17534065246582,"(-1.393788, 0.323836, 6.175341)",truck body CS,2.7866952419281,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
22,left road,22,-1.30499994754791,0.0,5.5,-1.25,0.0,-1.45000004768372,-1.30499994754791,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.3206604719162,0.32368829846382,6.1750316619873,"(-1.32066, 0.323688, 6.175032)",truck body CS,2.78699254989624,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
23,left road,23,-1.20499992370605,0.0,5.5,-1.14999997615814,0.0,-1.45000004768372,-1.20499992370605,0.0,5.5,-1.36328887939453,1.20476603507996,8.0124626159668,-1.2475084066391,0.32354003190994,6.17472267150879,"(-1.247508, 0.32354, 6.174723)",truck body CS,2.79087543487549,0.1,-1.36328887939453,1.20476603507996,8.0124626159668,-0.0005838028529,-179.733600310569,-0.00000745363733
